00913,,SAN JUAN,PR,18.4,-66.06,TJSJ
00915,,SAN JUAN,PR,18.4,-66.06,TJSJ
00917,,SAN JUAN,PR,18.4,-66.06,TJSJ
00918,,SAN JUAN,PR,18.4,-66.06,TJSJ
00920,,SAN JUAN,PR,18.4,-66.06,TJSJ
00921,,SAN JUAN,PR,18.4,-66.06,TJSJ
00923,,SAN JUAN,PR,18.4,-66.06,TJSJ
00924,,SAN JUAN,PR,18.4,-66.06,TJSJ
00925,,SAN JUAN,PR,18.4,-66.06,TJSJ
00926,,SAN JUAN,PR,18.4,-66.06,TJSJ
00927,,SAN JUAN,PR,18.4,-66.06,TJSJ
00934,,FORT BUCHANAN,PR,18.41,-66.11,SJNP4
00949,,TOA BAJA,PR,18.44,-66.25,SJNP4
00952,,SABANA SECA,PR,18.42,-66.19,SJNP4
00953,,TOA ALTA,PR,18.39,-66.25,SJNP4
00956,,BAYAMON,PR,18.28,-66.13,SJNP4
00957,,BAYAMON,PR,18.28,-66.13,SJNP4
00959,,BAYAMON,PR,18.28,-66.13,SJNP4
00961,,BAYAMON,PR,18.41,-66.15,SJNP4
00962,,CATANO,PR,18.43,-66.11,SJNP4
00965,,GUAYNABO,PR,18.38,-66.11,SJNP4
00966,,GUAYNABO,PR,18.38,-66.11,SJNP4
00968,,GUAYNABO,PR,18.38,-66.11,SJNP4
00969,,GUAYNABO,PR,18.38,-66.11,SJNP4
00971,,GUAYNABO,PR,18.38,-66.11,SJNP4
00976,,TRUJILLO ALTO,PR,18.36,-66.01,TJSJ
00979,,CAROLINA,PR,18.4,-65.98,TJSJ
00982,,CAROLINA,PR,18.4,-65.98,TJSJ
00983,,CAROLINA,PR,18.4,-65.98,TJSJ
00985,,CAROLINA,PR,18.4,-65.98,TJSJ
00987,,CAROLINA,PR,18.4,-65.98,TJSJ
01084,,WEST CHESTERFIELD,MA,42.41,-72.87,KBAF
01144,,SPRINGFIELD,MA,42.11,-72.53,KCEF
01152,,SPRINGFIELD,MA,42.11,-72.53,KCEF
01224,,BERKSHIRE,MA,42.51,-73.19,KPSF
01338,,BUCKLAND,MA,42.6,-72.78,KAQW
01343,,DRURY,MA,42.68,-72.98,KAQW
01346,,HEATH,MA,42.66,-72.83,KAQW
01380,,WENDELL DEPOT,MA,42.58,-72.37,KORE
01434,,DEVENS,MA,42.53,-71.61,KFIT
01655,,WORCESTER,MA,42.26,-71.8,KORH
02133,,BOSTON,MA,42.35,-71.06,BHBM3
02203,,BOSTON,MA,42.35,-71.06,BHBM3
02222,,BOSTON,MA,42.35,-71.06,BHBM3
02283,,BOSTON,MA,42.35,-71.06,BHBM3
02284,,BOSTON,MA,42.35,-71.06,BHBM3
02815,,CLAYVILLE,RI,41.77,-71.66,KPVD
02836,,KENYON,RI,41.48,-71.68,KWST
02841,,NEWPORT,RI,41.52,-71.3,KUUU
02858,,OAKLAND,RI,41.96,-71.64,KSFZ
02875,,SHANNOCK,RI,41.46,-71.67,KWST
02877,,SLOCUM,RI,41.52,-71.54,QPTR1
03233,,ELKINS,NH,43.4,-71.94,KLEB
03259,,NORTH SANDWICH,NH,43.86,-71.38,K1P1
03291,,WEST NOTTINGHAM,NH,43.13,-71.12,GBQN3
03441,,ASHUELOT,NH,42.81,-72.44,KEEN
03586,,SUGAR HILL,NH,44.23,-71.78,KHIE
03593,,RANDOLPH,NH,44.37,-71.25,KMWN
03601,,ACWORTH,NH,43.21,-72.29,KVSF
03607,,SOUTH ACWORTH,NH,43.18,-72.32,KVSF
03765,,HAVERHILL,NH,44.03,-72.06,K1V4
03780,,PIKE,NH,44.0,-72.0,K1P1
03805,,NEWINGTON,NH,43.23,-70.82,KDAW
03815,,CENTER STRAFFORD,NH,43.26,-71.11,KDAW
03883,,SOUTH TAMWORTH,NH,43.83,-71.31,K1P1
03897,,WONALANCET,NH,43.87,-71.28,K1P1
04003,,BAILEY ISLAND,ME,43.73,-69.99,KNHZ
04013,,BUSTINS ISLAND,ME,43.79,-70.07,KNHZ
04017,,CHEBEAGUE ISLAND,ME,43.73,-70.11,CASM1
04050,,LONG ISLAND,ME,43.69,-70.15,CASM1
04109,,PORTLAND,ME,43.66,-70.25,CASM1
04225,,DRYDEN,ME,44.62,-70.25,KWVL
04226,,EAST ANDOVER,ME,44.6,-70.72,KBML
04228,,EAST LIVERMORE,ME,44.39,-70.12,KAUG
04231,,STONEHAM,ME,44.25,-70.81,KIZG
04237,,HANOVER,ME,44.49,-70.69,KBML
04261,,NEWRY,ME,44.48,-70.78,KBML
04275,,ROXBURY,ME,44.66,-70.59,KBML
04285,,WELD,ME,44.69,-70.42,KWVL
04360,,VIENNA,ME,44.53,-69.98,KWVL
04408,,AURORA,ME,44.85,-68.32,KOLD
04413,,BROOKTON,ME,45.52,-67.76,KHUL
04417,,BURLINGTON,ME,45.2,-68.42,KOLD
04442,,GREENVILLE JUNCTION,ME,45.47,-69.69,KGNR
04451,,KINGMAN,ME,45.54,-68.2,KMLT
04471,,ORIENT,ME,45.81,-67.84,KHUL
04475,,PASSADUMKEAG,ME,45.18,-68.61,KOLD
04478,,ROCKWOOD,ME,45.67,-69.74,KGNR
04490,,TOPSFIELD,ME,45.41,-67.73,KMLT
04492,,WAITE,ME,45.32,-67.69,PSBM1
04495,,WINN,ME,45.48,-68.37,KMLT
04497,,WYTOPITLOCK,ME,45.64,-68.07,KMLT
04541,,CHAMBERLAIN,ME,43.88,-69.49,KIWI
04549,,ISLE OF SPRINGS,ME,43.89,-69.62,KIWI
04558,,PEMAQUID,ME,43.89,-69.52,KIWI
04568,,SOUTH BRISTOL,ME,43.86,-69.56,KIWI
04571,,TREVETT,ME,43.89,-69.67,KIWI
04573,,WALPOLE,ME,43.94,-69.55,KIWI
04612,,BERNARD,ME,44.24,-68.35,ATGM1
04613,,BIRCH HARBOR,ME,44.38,-68.04,ATGM1
04624,,COREA,ME,44.41,-67.99,ATGM1
04626,,CUTLER,ME,44.69,-67.21,CTGM1
04642,,HARBORSIDE,ME,44.33,-68.79,KBHB
04650,,LITTLE DEER ISLE,ME,44.28,-68.71,KBHB
04657,,MEDDYBEMPS,ME,45.03,-67.35,PSBM1
04669,,PROSPECT HARBOR,ME,44.42,-68.03,ATGM1
04671,,ROBBINSTON,ME,45.06,-67.16,PSBM1
04673,,SARGENTVILLE,ME,44.32,-68.7,KBHB
04674,,SEAL COVE,ME,44.3,-68.41,KBHB
04677,,SORRENTO,ME,44.49,-68.18,ATGM1
04683,,SUNSET,ME,44.22,-68.7,KRKD
04685,,SWANS ISLAND,ME,44.14,-68.45,MDRM1
04686,,WESLEY,ME,44.95,-67.66,CTGM1
04691,,WHITING,ME,44.79,-67.17,PSBM1
04733,,BENEDICTA,ME,45.8,-68.41,KMLT
04737,,CLAYTON LAKE,ME,46.61,-69.52,K40B
04746,,GRAND ISLE,ME,47.3,-68.15,KFVE
04764,,OXBOW,ME,46.41,-68.49,KPQI
04766,,PERHAM,ME,46.84,-68.19,KCAR
04768,,PORTAGE,ME,46.76,-68.47,KPQI
04777,,STACYVILLE,ME,45.89,-68.43,KMLT
04779,,SINCLAIR,ME,47.16,-68.3,KFVE
04783,,STOCKHOLM,ME,47.04,-68.14,KCAR
04787,,WESTFIELD,ME,46.57,-67.92,KPQI
04853,,NORTH HAVEN,ME,44.15,-68.86,KRKD
04918,,BELGRADE LAKES,ME,44.51,-69.84,KWVL
04923,,CAMBRIDGE,ME,45.02,-69.47,KGNR
04925,,CARATUNK,ME,45.23,-69.99,KGNR
04936,,EUSTIS,ME,45.21,-70.47,KGNR
04962,,NORTH VASSALBORO,ME,44.48,-69.56,KWVL
04985,,WEST FORKS,ME,45.42,-69.97,KGNR
05034,,BRIDGEWATER,VT,43.58,-72.63,KRUT
05041,,EAST RANDOLPH,VT,43.93,-72.55,KMPV
05052,,NORTH HARTLAND,VT,43.59,-72.35,KLEB
05053,,NORTH POMFRET,VT,43.72,-72.49,KLEB
05056,,PLYMOUTH,VT,43.53,-72.73,KRUT
05058,,POST MILLS,VT,43.89,-72.26,KLEB
05067,,SOUTH POMFRET,VT,43.68,-72.51,KLEB
05071,,SOUTH WOODSTOCK,VT,43.57,-72.53,KLEB
05072,,STRAFFORD,VT,43.87,-72.38,KLEB
05073,,TAFTSVILLE,VT,43.62,-72.46,KLEB
05076,,TOPSHAM,VT,44.09,-72.22,KMPV
05083,,WEST FAIRLEE,VT,43.9,-72.27,KLEB
05084,,WEST HARTFORD,VT,43.72,-72.42,KLEB
05141,,CAMBRIDGEPORT,VT,43.15,-72.56,KVSF
05152,,PERU,VT,43.23,-72.89,KVSF
05252,,EAST ARLINGTON,VT,43.06,-73.13,KDDH
05260,,NORTH POWNAL,VT,42.81,-73.24,KDDH
05341,,EAST DOVER,VT,42.96,-72.78,KDDH
05351,,SOUTH NEWFANE,VT,42.94,-72.7,KEEN
05355,,WARDSBORO,VT,43.02,-72.8,KDDH
05358,,WEST HALIFAX,VT,42.76,-72.72,KAQW
05360,,WEST WARDSBORO,VT,43.02,-72.85,KDDH
05362,,WILLIAMSVILLE,VT,42.94,-72.65,KEEN
05442,,BELVIDERE CENTER,VT,44.75,-72.68,KMVL
05447,,EAST BERKSHIRE,VT,44.92,-72.7,KEFK
05640,,ADAMANT,VT,44.35,-72.5,KMPV
05653,,EDEN MILLS,VT,44.69,-72.48,KMVL
05666,,NORTH MONTPELIER,VT,44.25,-72.48,KMPV
05681,,WOODBURY,VT,44.44,-72.4,KMVL
05730,,BELMONT,VT,43.42,-72.81,KRUT
05742,,EAST WALLINGFORD,VT,43.43,-72.87,KRUT
05747,,GRANVILLE,VT,43.98,-72.85,KMPV
05748,,HANCOCK,VT,43.93,-72.83,KMPV
05766,,RIPTON,VT,44.0,-73.15,KMPV
05772,,STOCKBRIDGE,VT,43.78,-72.77,KRUT
05776,,WEST RUPERT,VT,43.26,-73.19,KGFL
05820,,ALBANY,VT,44.73,-72.38,KEFK
05827,,CRAFTSBURY COMMON,VT,44.65,-72.41,KMVL
05833,,EAST CHARLESTON,VT,44.83,-72.0,KEFK
05837,,EAST HAVEN,VT,44.67,-71.9,K6B8
05841,,GREENSBORO,VT,44.58,-72.28,K6B8
05858,,NORTH CONCORD,VT,44.56,-71.77,K6B8
05862,,PEACHAM,VT,44.33,-72.17,K1V4
05868,,TROY,VT,44.93,-72.38,KEFK
05875,,WEST GLOVER,VT,44.69,-72.26,K6B8
05902,,BEECHER FALLS,VT,45.0,-71.51,KBML
05904,,GILMAN,VT,44.41,-71.71,KHIE
05907,,NORTON,VT,45.0,-71.8,KEFK
06020,,CANTON CENTER,CT,41.86,-72.9,KBDL
06022,,COLLINSVILLE,CT,41.81,-72.92,KHFD
06059,,NORTH CANTON,CT,41.9,-72.89,KBDL
06091,,WEST HARTLAND,CT,42.0,-72.97,KBDL
06101,,HARTFORD,CT,41.76,-72.68,KHFD
06152,,HARTFORD,CT,41.76,-72.68,KHFD
06199,,HARTFORD,CT,41.76,-72.68,KHFD
06243,,EAST KILLINGLY,CT,41.84,-71.8,KPVD
06336,,GILMAN,CT,41.58,-72.12,KIJD
06650,,BRIDGEPORT,CT,41.18,-73.19,BHRC3
06758,,LAKESIDE,CT,41.68,-73.23,KOXC
06910,,STAMFORD,CT,41.09,-73.55,KHPN
07495,,MAHWAH,NJ,41.08,-74.18,KCDW
07510,,PATERSON,NJ,40.91,-74.16,KCDW
07608,,TETERBORO,NJ,40.85,-74.06,KTEB
07799,,EATONTOWN,NJ,40.29,-74.05,KBLM
07806,,PICATINNY ARSENAL,NJ,40.93,-74.54,KMMU
07851,,LAYTON,NJ,41.21,-74.82,KFWN
07881,,WALLPACK CENTER,NJ,41.12,-74.91,K12N
07939,,LYONS,NJ,40.66,-74.55,KSMQ
07999,,WHIPPANY,NJ,40.82,-74.41,KMMU
08032,,GRENLOCH,NJ,39.77,-75.05,KPHL
08314,,DELMONT,NJ,39.2,-74.97,KMIV
08324,,HEISLERVILLE,NJ,39.24,-74.99,KMIV
08348,,PORT ELIZABETH,NJ,39.39,-74.88,KMIV
08556,,ROSEMONT,NJ,40.42,-74.99,KDYL
08899,,EDISON,NJ,40.52,-74.36,BGNN4
10041,,NEW YORK,NY,40.71,-73.99,BATN6
10045,,NEW YORK,NY,40.71,-73.99,BATN6
10055,,NEW YORK,NY,40.71,-73.99,BATN6
10060,,NEW YORK,NY,40.71,-73.99,BATN6
10090,,NEW YORK,NY,40.71,-73.99,BATN6
10095,,NEW YORK,NY,40.71,-73.99,BATN6
10103,,NEW YORK,NY,40.71,-73.99,BATN6
10104,,NEW YORK,NY,40.71,-73.99,BATN6
10106,,NEW YORK,NY,40.71,-73.99,BATN6
10110,,NEW YORK,NY,40.71,-73.99,BATN6
10115,,NEW YORK,NY,40.71,-73.99,BATN6
10119,,NEW YORK,NY,40.71,-73.99,BATN6
10120,,NEW YORK,NY,40.71,-73.99,BATN6
10121,,NEW YORK,NY,40.71,-73.99,BATN6
10122,,NEW YORK,NY,40.71,-73.99,BATN6
10151,,NEW YORK,NY,40.71,-73.99,BATN6
10152,,NEW YORK,NY,40.71,-73.99,BATN6
10153,,NEW YORK,NY,40.71,-73.99,BATN6
10154,,NEW YORK,NY,40.71,-73.99,BATN6
10155,,NEW YORK,NY,40.71,-73.99,BATN6
10158,,NEW YORK,NY,40.71,-73.99,BATN6
10161,,NEW YORK,NY,40.71,-73.99,BATN6
10166,,NEW YORK,NY,40.71,-73.99,BATN6
10167,,NEW YORK,NY,40.71,-73.99,BATN6
10169,,NEW YORK,NY,40.71,-73.99,BATN6
10171,,NEW YORK,NY,40.71,-73.99,BATN6
10173,,NEW YORK,NY,40.71,-73.99,BATN6
10174,,NEW YORK,NY,40.71,-73.99,BATN6
10175,,NEW YORK,NY,40.71,-73.99,BATN6
10176,,NEW YORK,NY,40.71,-73.99,BATN6
10177,,NEW YORK,NY,40.71,-73.99,BATN6
10178,,NEW YORK,NY,40.71,-73.99,BATN6
10199,,NEW YORK,NY,40.71,-73.99,BATN6
10200,,NEW YORK,NY,40.77,73.95,62027
10270,,NEW YORK,NY,40.71,-73.99,BATN6
10271,,NEW YORK,NY,40.71,-73.99,BATN6
10278,,NEW YORK,NY,40.71,-73.99,BATN6
10279,,NEW YORK,NY,40.71,-73.99,BATN6
10311,,STATEN ISLAND,NY,40.58,-74.14,BGNN4
10911,,BEAR MOUNTAIN,NY,41.3,-73.99,KSWF
10975,,SOUTHFIELDS,NY,41.25,-74.17,KSWF
